prompt_tokens,completion_tokens,total_tokens
293,211,504
451,316,767
499,386,885
308,216,524
505,398,903
508,533,1041
594,389,983
948,187,1135
581,387,968
352,271,623
319,207,526
507,667,1174
874,667,1541
574,354,928
564,505,1069
921,134,1055
922,112,1034
950,143,1093
947,165,1112
944,173,1117
272,198,470
251,141,392
310,205,515
334,193,527
474,376,850
418,596,1014
510,520,1030
492,556,1048
559,458,1017
780,341,1121
762,450,1212
732,626,1358
329,205,534
507,527,1034
736,649,1385
918,129,1047
929,112,1041
959,173,1132
956,143,1099
944,177,1121
264,160,424
258,154,412
349,212,561
316,214,530
338,272,610
433,639,1072
438,605,1043
571,553,1124
525,439,964
796,358,1154
526,679,1205
819,428,1247
657,527,1184
900,876,1776
759,562,1321
938,127,1065
948,143,1091
967,143,1110
934,173,1107
943,173,1116
282,161,443
308,189,497
327,204,531
324,235,559
333,233,566
526,359,885
454,501,955
531,356,887
524,577,1101
492,599,1091
561,384,945
588,399,987
701,486,1187
773,617,1390
809,741,1550
941,151,1092
953,157,1110
952,143,1095
947,154,1101
945,183,1128
327,197,524
309,215,524
312,220,532
318,199,517
345,233,578
527,410,937
501,437,938
505,447,952
511,488,999
533,478,1011
646,499,1145
662,699,1361
685,471,1156
624,534,1158
691,898,1589
929,79,1008
947,143,1090
939,173,1112
941,143,1084
225,140,365
307,197,504
301,208,509
957,154,1111
504,359,863
328,280,608
424,421,845
329,246,575
499,432,931
592,413,1005
562,446,1008
540,483,1023
641,537,1178
612,622,1234
632,438,1070
684,676,1360
941,143,1084
940,163,1103
957,173,1130
949,157,1106
924,173,1097
301,202,503
320,245,565
323,190,513
347,218,565
314,221,535
498,683,1181
530,553,1083
500,654,1154
540,341,881
772,683,1455
494,608,1102
886,933,1819
840,824,1664
543,569,1112
819,529,1348
931,129,1060
954,143,1097
932,126,1058
956,173,1129
932,124,1056
277,183,460
275,155,430
346,232,578
273,200,473
314,209,523
469,440,909
442,396,838
487,466,953
543,541,1084
518,443,961
633,401,1034
590,366,956
660,477,1137
759,540,1299
659,654,1313
931,109,1040
925,112,1037
937,112,1049
943,173,1116
254,154,408
257,151,408
946,187,1133
333,193,526
266,146,412
434,394,828
350,241,591
437,344,781
581,380,961
491,545,1036
438,420,858
537,421,958
542,747,1289
750,567,1317
955,554,1509
619,648,1267
943,139,1082
968,157,1125
935,110,1045
944,143,1087
927,187,1114
342,195,537
262,138,400
299,170,469
304,187,491
331,248,579
518,341,859
468,398,866
486,476,962
530,566,1096
571,489,1060
682,410,1092
603,739,1342
428,437,865
634,605,1239
755,533,1288
953,120,1073
938,188,1126
948,173,1121
944,150,1094
954,171,1125
338,221,559
343,259,602
290,209,499
311,236,547
342,276,618
517,317,834
552,446,998
524,426,950
585,495,1080
532,508,1040
646,501,1147
636,379,1015
711,640,1351
535,556,1091
762,650,1412
923,141,1064
950,143,1093
947,173,1120
933,157,1090
933,157,1090
281,205,486
310,191,501
307,189,496
307,220,527
337,221,558
477,357,834
483,346,829
508,433,941
523,579,1102
496,674,1170
552,526,1078
531,609,1140
788,449,1237
628,453,1081
886,906,1792
949,143,1092
945,171,1116
948,168,1116
949,163,1112
958,202,1160
309,221,530
333,235,568
329,296,625
377,255,632
333,277,610
568,375,943
525,427,952
600,637,1237
538,494,1032
577,527,1104
704,410,1114
638,452,1090
734,512,1246
595,683,1278
848,551,1399
926,124,1050
934,187,1121
944,187,1131
958,171,1129
267,186,453
935,112,1047
346,225,571
348,260,608
338,215,553
264,161,425
559,434,993
538,525,1063
504,441,945
467,534,1001
640,387,1027
451,611,1062
637,441,1078
808,388,1196
722,714,1436
745,844,1589
941,97,1038
932,110,1042
931,143,1074
953,143,1096
945,173,1118
255,143,398
259,148,407
313,209,522
291,208,499
335,228,563
439,293,732
528,267,795
494,350,844
517,373,890
435,637,1072
496,360,856
474,401,875
588,425,1013
543,405,948
831,435,1266
921,129,1050
946,118,1064
953,143,1096
947,143,1090
281,135,416
946,188,1134
267,159,426
307,215,522
351,215,566
436,356,792
435,348,783
517,484,1001
313,219,532
564,358,922
516,613,1129
527,370,897
693,599,1292
585,364,949
531,306,837
821,980,1801
937,110,1047
941,110,1051
936,151,1087
941,143,1084
264,131,395
268,144,412
353,267,620
304,204,508
301,206,507
440,393,833
423,517,940
495,384,879
502,405,907
576,412,988
596,377,973
608,414,1022
716,621,1337
628,573,1201
582,480,1062
936,110,1046
949,143,1092
934,124,1058
949,171,1120
263,130,393
941,187,1128
275,172,447
309,196,505
345,227,572
337,249,586
421,349,770
461,411,872
500,482,982
547,479,1026
553,644,1197
523,693,1216
896,8,904
607,508,1115
693,703,1396
855,549,1404
938,109,1047
940,157,1097
948,157,1105
951,143,1094
938,173,1111
264,153,417
314,212,526
322,200,522
311,192,503
328,226,554
507,372,879
446,684,1130
498,469,967
884,324,1208
574,485,1059
503,624,1127
519,643,1162
843,807,1650
682,794,1476
834,917,1751
946,143,1089
941,143,1084
930,133,1063
930,157,1087
952,143,1095
280,167,447
301,198,499
306,187,493
304,206,510
312,188,500
494,358,852
491,431,922
488,455,943
452,379,831
495,413,908
561,478,1039
623,430,1053
571,437,1008
663,644,1307
627,548,1175
929,154,1083
941,173,1114
955,173,1128
943,157,1100
933,202,1135
300,162,462
331,227,558
345,270,615
317,203,520
352,245,597
446,434,880
523,516,1039
580,460,1040
533,468,1001
501,496,997
625,464,1089
701,369,1070
677,623,1300
719,946,1665
663,753,1416
934,143,1077
930,112,1042
939,110,1049
935,134,1069
931,173,1104
266,177,443
294,183,477
259,162,421
286,189,475
321,221,542
447,301,748
479,388,867
472,405,877
471,508,979
507,376,883
493,291,784
585,390,975
569,461,1030
601,465,1066
709,771,1480
926,112,1038
929,154,1083
938,187,1125
944,173,1117
934,173,1107
300,183,483
255,163,418
334,248,582
342,218,560
324,215,539
444,408,852
511,484,995
467,391,858
504,385,889
547,528,1075
582,330,912
596,592,1188
684,778,1462
581,601,1182
734,789,1523
942,131,1073
930,157,1087
941,173,1114
943,179,1122
304,198,502
290,189,479
339,253,592
331,225,556
483,526,1009
521,431,952
972,150,1122
486,604,1090
551,643,1194
339,207,546
718,635,1353
534,525,1059
634,540,1174
848,1008,1856
808,814,1622
759,554,1313
944,143,1087
943,143,1086
934,173,1107
936,110,1046
938,173,1111
263,147,410
304,238,542
324,239,563
303,198,501
328,290,618
438,349,787
528,386,914
537,500,1037
583,474,1057
496,468,964
547,489,1036
582,445,1027
674,638,1312
706,486,1192
673,675,1348
938,112,1050
938,112,1050
944,143,1087
945,110,1055
942,143,1085
267,169,436
267,179,446
272,146,418
304,188,492
302,178,480
462,259,721
446,360,806
475,380,855
487,485,972
472,485,957
584,428,1012
459,457,916
567,594,1161
691,624,1315
685,657,1342
944,143,1087
952,173,1125
944,110,1054
947,202,1149
946,173,1119
304,185,489
271,181,452
342,219,561
366,269,635
336,229,565
571,406,977
484,527,1011
480,614,1094
530,701,1231
615,434,1049
733,551,1284
909,911,1820
526,479,1005
820,750,1570
693,440,1133
955,120,1075
951,143,1094
941,173,1114
933,112,1045
929,112,1041
311,173,484
292,191,483
262,194,456
331,231,562
258,156,414
440,334,774
482,369,851
479,483,962
501,438,939
527,457,984
525,290,815
564,337,901
655,389,1044
696,625,1321
660,710,1370
953,120,1073
944,143,1087
953,173,1126
945,143,1088
947,183,1130
290,190,480
304,189,493
343,248,591
305,196,501
347,275,622
556,386,942
488,493,981
496,358,854
577,625,1202
498,635,1133
699,643,1342
565,646,1211
601,533,1134
850,423,1273
834,851,1685
954,120,1074
919,112,1031
941,131,1072
936,126,1062
945,143,1088
291,139,430
248,150,398
279,166,445
289,174,463
305,207,512
424,332,756
457,447,904
507,313,820
448,481,929
513,315,828
470,521,991
520,452,972
645,597,1242
697,628,1325
724,707,1431
929,110,1039
933,126,1059
936,126,1062
934,173,1107
942,168,1110
256,148,404
279,160,439
276,168,444
327,223,550
324,225,549
432,450,882
451,324,775
514,332,846
456,559,1015
520,483,1003
522,508,1030
528,453,981
754,677,1431
641,743,1384
687,761,1448
927,112,1039
963,143,1106
940,157,1097
939,173,1112
256,180,436
314,207,521
323,200,523
939,143,1082
329,231,560
299,212,511
462,415,877
518,378,896
525,557,1082
502,640,1142
506,402,908
603,635,1238
604,607,1211
758,554,1312
842,799,1641
603,634,1237
948,120,1068
937,112,1049
949,151,1100
948,164,1112
929,173,1102
266,150,416
285,167,452
317,190,507
329,245,574
319,231,550
442,543,985
548,418,966
470,373,843
515,443,958
742,774,1516
628,698,1326
634,447,1081
583,533,1116
494,527,1021
738,751,1489
946,143,1089
945,156,1101
947,120,1067
945,142,1087
943,173,1116
306,218,524
318,201,519
304,224,528
333,213,546
284,158,442
524,376,900
519,592,1111
501,625,1126
460,505,965
511,523,1034
728,200,928
583,524,1107
714,688,1402
832,817,1649
800,649,1449
955,143,1098
934,112,1046
936,173,1109
939,187,1126
263,161,424
925,141,1066
315,216,531
326,216,542
343,228,571
283,140,423
450,355,805
526,471,997
551,449,1000
420,661,1081
507,410,917
688,662,1350
848,350,1198
608,489,1097
522,619,1141
820,961,1781
937,112,1049
947,143,1090
948,143,1091
932,112,1044
934,157,1091
266,177,443
261,146,407
307,197,504
308,195,503
433,324,757
469,444,913
308,229,537
499,570,1069
484,420,904
518,524,1042
616,443,1059
532,437,969
779,599,1378
643,619,1262
647,425,1072
942,143,1085
937,143,1080
944,143,1087
930,157,1087
940,142,1082
297,199,496
302,195,497
304,215,519
299,168,467
304,201,505
491,384,875
500,327,827
492,467,959
500,575,1075
583,441,1024
519,352,871
463,744,1207
671,588,1259
781,465,1246
946,431,1377
930,104,1034
935,110,1045
939,124,1063
923,112,1035
931,173,1104
262,154,416
251,161,412
252,133,385
280,201,481
321,223,544
444,461,905
509,407,916
411,450,861
495,519,1014
600,535,1135
635,548,1183
446,379,825
720,700,1420
658,512,1170
571,616,1187
926,112,1038
939,143,1082
939,143,1082
933,173,1106
255,131,386
299,184,483
299,205,504
323,216,539
928,143,1071
288,217,505
499,382,881
478,489,967
412,417,829
500,369,869
583,349,932
504,487,991
605,513,1118
559,314,873
690,552,1242
682,481,1163
945,97,1042
935,143,1078
948,167,1115
940,143,1083
951,168,1119
259,137,396
295,185,480
332,242,574
336,214,550
475,346,821
545,388,933
300,195,495
437,571,1008
490,322,812
520,551,1071
598,456,1054
778,531,1309
543,332,875
764,693,1457
524,635,1159
934,112,1046
941,150,1091
928,112,1040
939,151,1090
938,188,1126
263,153,416
257,152,409
308,195,503
307,233,540
343,253,596
442,318,760
491,438,929
546,441,987
435,538,973
527,428,955
514,594,1108
629,411,1040
641,685,1326
641,774,1415
728,656,1384
941,143,1084
958,163,1121
934,187,1121
942,173,1115
938,110,1048
338,229,567
332,209,541
265,138,403
338,248,586
301,205,506
431,360,791
537,549,1086
542,525,1067
501,445,946
506,569,1075
648,410,1058
560,571,1131
745,697,1442
745,663,1408
773,565,1338
925,110,1035
935,163,1098
955,143,1098
942,182,1124
968,157,1125
252,154,406
315,217,532
342,207,549
315,190,505
341,271,612
434,346,780
507,582,1089
530,576,1106
568,583,1151
500,615,1115
533,499,1032
787,604,1391
806,956,1762
779,660,1439
832,1169,2001
941,109,1050
945,112,1057
951,143,1094
929,157,1086
267,179,446
274,144,418
311,238,549
946,112,1058
303,208,511
275,180,455
444,363,807
544,403,947
492,402,894
475,595,1070
570,461,1031
616,608,1224
798,476,1274
481,431,912
593,629,1222
639,674,1313
933,143,1076
946,173,1119
935,157,1092
941,143,1084
932,187,1119
293,181,474
336,250,586
301,242,543
336,223,559
309,218,527
510,453,963
469,429,898
508,444,952
538,482,1020
551,528,1079
641,412,1053
624,494,1118
647,730,1377
685,646,1331
736,761,1497
943,127,1070
953,151,1104
943,173,1116
932,129,1061
945,188,1133
287,189,476
278,166,444
321,217,538
333,221,554
350,286,636
525,414,939
487,430,917
519,650,1169
586,498,1084
641,486,1127
629,483,1112
635,735,1370
705,636,1341
855,1070,1925
933,112,1045
936,173,1109
937,184,1121
262,173,435
957,163,1120
338,248,586
324,270,594
461,363,824
337,202,539
326,227,553
540,384,924
558,328,886
561,403,964
514,517,1031
601,398,999
736,669,1405
518,572,1090
583,796,1379
770,731,1501
925,112,1037
929,110,1039
956,143,1099
951,173,1124
939,173,1112
256,140,396
254,162,416
316,179,495
329,251,580
341,261,602
490,416,906
545,341,886
424,678,1102
567,416,983
634,455,1089
442,299,741
869,483,1352
542,500,1042
486,267,753
629,741,1370
945,143,1088
919,110,1029
934,112,1046
944,157,1101
950,157,1107
246,144,390
263,166,429
305,186,491
324,191,515
318,203,521
502,308,810
418,523,941
486,401,887
455,354,809
514,418,932
496,722,1218
608,496,1104
550,376,926
934,352,1286
704,656,1360
931,112,1043
938,126,1064
944,151,1095
946,173,1119
949,131,1080
260,167,427
312,192,504
336,229,565
297,151,448
281,171,452
453,421,874
491,565,1056
530,390,920
455,487,942
464,357,821
598,433,1031
614,535,1149
557,430,987
698,500,1198
771,677,1448
953,173,1126
939,187,1126
957,173,1130
932,144,1076
936,134,1070
343,230,573
347,225,572
293,251,544
343,272,615
287,187,474
538,445,983
537,466,1003
538,395,933
478,456,934
639,461,1100
654,600,1254
685,599,1284
610,578,1188
566,658,1224
859,872,1731
940,143,1083
932,154,1086
933,112,1045
934,143,1077
935,163,1098
303,234,537
262,191,453
300,209,509
315,222,537
521,222,743
294,181,475
479,461,940
512,446,958
470,401,871
416,387,803
504,306,810
643,478,1121
656,611,1267
597,618,1215
508,522,1030
934,142,1076
938,143,1081
954,157,1111
957,157,1114
934,112,1046
298,217,515
293,221,514
328,229,557
331,231,562
263,144,407
510,435,945
433,352,785
538,385,923
543,405,948
510,705,1215
548,355,903
635,503,1138
601,457,1058
624,498,1122
901,447,1348
924,112,1036
938,110,1048
919,143,1062
928,110,1038
948,143,1091
253,160,413
265,166,431
279,199,478
255,140,395
308,222,530
439,374,813
459,425,884
473,402,875
423,424,847
525,371,896
560,456,1016
625,714,1339
614,409,1023
583,453,1036
581,615,1196
933,112,1045
931,143,1074
928,171,1099
950,187,1137
954,145,1099
262,133,395
291,191,482
316,193,509
354,288,642
316,255,571
421,309,730
477,357,834
502,387,889
504,333,837
593,573,1166
538,464,1002
603,392,995
550,471,1021
654,598,1252
785,787,1572
932,143,1075
930,143,1073
948,202,1150
942,163,1105
955,173,1128
290,205,495
292,202,494
367,248,615
345,220,565
322,209,531
506,349,855
489,444,933
553,351,904
490,596,1086
530,661,1191
551,662,1213
638,327,965
872,533,1405
878,943,1821
788,1081,1869
928,129,1057
947,173,1120
964,188,1152
274,174,448
272,188,460
337,232,569
369,243,612
457,314,771
478,376,854
534,486,1020
562,558,1120
573,633,1206
695,494,1189
504,640,1144
784,543,1327
