prompt_tokens,completion_tokens,total_tokens
367,276,643
518,440,958
456,460,916
563,437,1000
466,606,1072
590,563,1153
747,373,1120
764,392,1156
914,362,1276
756,367,1123
885,385,1270
944,143,1087
950,163,1113
921,152,1073
947,173,1120
304,211,515
290,209,499
330,227,557
337,225,562
922,154,1076
293,188,481
496,309,805
521,514,1035
604,214,818
538,441,979
476,372,848
543,621,1164
668,271,939
832,529,1361
762,418,1180
945,603,1548
929,110,1039
918,129,1047
959,173,1132
956,143,1099
944,187,1131
256,151,407
264,160,424
316,207,523
349,261,610
348,260,608
444,411,855
446,424,870
570,420,990
586,474,1060
703,377,1080
529,612,1141
727,483,1210
738,401,1139
807,372,1179
942,506,1448
934,154,1088
948,143,1091
967,154,1121
938,141,1079
943,143,1086
296,189,485
303,192,495
308,189,497
305,217,522
338,228,566
517,489,1006
501,482,983
493,550,1043
503,486,989
561,514,1075
797,349,1146
862,381,1243
855,369,1224
799,524,1323
808,744,1552
947,165,1112
941,143,1084
952,143,1095
945,175,1120
301,202,503
312,221,533
329,220,549
337,225,562
953,173,1126
509,389,898
343,234,577
539,473,1012
533,630,1163
553,466,1019
799,348,1147
704,408,1112
536,710,1246
793,466,1259
951,516,1467
1029,516,1545
939,143,1082
947,143,1090
929,112,1041
957,154,1111
941,184,1125
258,171,429
307,191,498
328,199,527
299,212,511
342,295,637
466,434,900
522,496,1018
504,553,1057
517,553,1070
737,353,1090
602,586,1188
827,483,1310
866,462,1328
874,560,1434
901,329,1230
940,143,1083
941,143,1084
924,198,1122
957,143,1100
949,131,1080
301,212,513
317,198,515
300,190,490
297,169,466
339,284,623
496,508,1004
521,520,1041
519,577,1096
574,415,989
484,553,1037
713,426,1139
876,549,1425
851,559,1410
822,539,1361
892,542,1434
954,143,1097
932,126,1058
931,129,1060
932,187,1119
956,143,1099
277,165,442
275,161,436
316,181,497
314,217,531
336,242,578
462,343,805
503,391,894
537,447,984
540,422,962
459,555,1014
721,457,1178
728,362,1090
775,435,1210
648,362,1010
861,579,1440
946,145,1091
931,168,1099
925,112,1037
937,157,1094
943,157,1100
308,178,486
254,164,418
317,200,517
316,247,563
311,220,531
490,411,901
544,449,993
523,432,955
455,294,749
509,484,993
754,383,1137
731,372,1103
593,293,886
743,408,1151
801,362,1163
943,117,1060
935,110,1045
927,126,1053
968,157,1125
944,143,1087
262,138,400
270,166,436
342,195,537
277,191,468
304,187,491
497,378,875
500,510,1010
459,510,969
529,823,1352
696,375,1071
827,419,1246
439,427,866
811,501,1312
1165,747,1912
736,532,1268
953,120,1073
954,127,1081
944,150,1094
948,173,1121
290,184,474
338,235,573
311,190,501
298,194,492
938,173,1111
328,238,566
549,448,997
514,344,858
503,557,1060
672,380,1052
500,651,1151
542,532,1074
770,390,1160
844,452,1296
969,505,1474
884,440,1324
923,112,1035
947,151,1098
933,157,1090
950,163,1113
933,173,1106
252,173,425
315,197,512
330,205,535
323,207,530
307,222,529
510,496,1006
521,438,959
506,651,1157
745,445,1190
521,678,1199
817,510,1327
958,427,1385
462,435,897
1002,472,1474
732,278,1010
958,114,1072
948,150,1098
945,173,1118
949,163,1112
949,202,1151
289,153,442
315,218,533
335,249,584
329,211,540
368,285,653
477,514,991
560,414,974
526,691,1217
532,479,1011
600,459,1059
846,618,1464
801,632,1433
733,498,1231
782,569,1351
1014,506,1520
934,110,1044
944,144,1088
935,112,1047
926,112,1038
958,157,1115
261,165,426
255,156,411
305,201,506
332,205,537
511,491,1002
529,605,1134
448,474,922
774,424,1198
937,442,1379
809,460,1269
264,162,426
463,419,882
728,339,1067
465,387,852
695,336,1031
932,112,1044
953,143,1096
945,143,1088
261,187,448
931,143,1074
305,181,486
313,174,487
941,118,1059
291,186,477
276,182,458
485,476,961
492,480,972
489,434,923
782,382,1164
493,527,1020
483,572,1055
854,484,1338
749,396,1145
877,508,1385
799,440,1239
947,143,1090
921,112,1033
953,143,1096
946,129,1075
946,166,1112
250,179,429
292,152,444
307,221,528
329,233,562
313,197,510
466,391,857
464,435,899
534,494,1028
545,493,1038
516,479,995
686,354,1040
755,407,1162
806,430,1236
815,464,1279
813,425,1238
937,173,1110
941,143,1084
954,143,1097
941,173,1114
327,234,561
301,187,488
314,217,531
331,277,608
494,392,886
537,493,1030
584,536,1120
707,328,1035
537,680,1217
804,435,1239
851,471,1322
1008,529,1537
936,173,1109
326,239,565
541,620,1161
930,446,1376
936,110,1046
934,143,1077
941,159,1100
949,143,1092
949,173,1122
263,144,407
339,199,538
294,204,498
309,176,485
317,230,547
446,406,852
504,363,867
491,466,957
514,501,1015
537,423,960
671,360,1031
716,336,1052
789,400,1189
824,510,1334
738,368,1106
951,143,1094
940,157,1097
938,177,1115
948,183,1131
938,187,1125
311,192,503
314,212,526
332,250,582
348,284,632
342,253,595
518,462,980
509,465,974
598,504,1102
776,424,1200
557,493,1050
790,526,1316
805,409,1214
826,647,1473
554,458,1012
770,457,1227
941,163,1104
952,143,1095
930,112,1042
946,124,1070
930,143,1073
321,219,540
312,202,514
259,178,437
290,170,460
287,182,469
474,397,871
520,707,1227
526,656,1182
494,571,1065
466,454,920
701,329,1030
1033,433,1466
971,394,1365
891,579,1470
758,523,1281
933,110,1043
929,149,1078
955,173,1128
941,188,1129
260,167,427
295,159,454
943,187,1130
345,238,583
346,262,608
347,271,618
466,343,809
454,374,828
569,486,1055
559,556,1115
650,372,1022
801,392,1193
885,317,1202
677,340,1017
580,447,1027
764,529,1293
930,112,1042
935,143,1078
934,173,1107
939,157,1096
931,163,1094
295,174,469
259,176,435
324,197,521
313,243,556
311,228,539
472,374,846
475,482,957
548,498,1046
497,500,997
525,436,961
678,339,1017
791,352,1143
811,607,1418
741,418,1159
808,541,1349
929,143,1072
926,112,1038
938,134,1072
934,173,1107
255,125,380
289,190,479
944,143,1087
324,229,553
289,178,467
417,427,844
304,191,495
494,406,900
529,508,1037
473,382,855
501,333,834
727,424,1151
685,343,1028
816,411,1227
718,424,1142
651,466,1117
942,97,1039
943,110,1053
930,173,1103
972,150,1122
270,154,424
256,137,393
320,224,544
941,188,1129
346,247,593
445,455,900
339,247,586
463,461,924
520,456,976
778,257,1035
554,386,940
771,410,1181
760,478,1238
585,505,1090
851,523,1374
701,618,1319
944,143,1087
936,143,1079
943,157,1100
934,173,1107
938,145,1083
317,225,542
296,215,511
304,225,529
300,242,542
324,231,555
517,456,973
534,559,1093
535,494,1029
766,455,1221
546,835,1381
876,459,1335
812,445,1257
531,327,858
1147,389,1536
635,267,902
938,110,1048
938,173,1111
945,143,1088
944,157,1101
942,143,1085
305,182,487
318,257,575
328,218,546
302,182,484
265,142,407
567,423,990
490,424,914
446,468,914
741,341,1082
780,486,1266
493,618,1111
522,457,979
740,323,1063
937,392,1329
769,483,1252
944,151,1095
952,173,1125
946,167,1113
944,143,1087
947,156,1103
312,194,506
342,214,556
304,209,513
330,292,622
320,195,515
504,420,924
604,473,1077
508,501,1009
738,440,1178
793,508,1301
822,327,1149
519,645,1164
532,605,1137
963,427,1390
931,481,1412
929,134,1063
955,120,1075
951,120,1071
941,163,1104
292,152,444
288,207,495
280,185,465
321,192,513
933,134,1067
473,410,883
284,155,439
524,468,992
480,519,999
454,371,825
499,548,1047
739,414,1153
822,338,1160
863,490,1353
793,449,1242
678,387,1065
953,163,1116
944,143,1087
947,168,1115
945,163,1108
304,196,500
332,218,550
333,264,597
953,153,1106
506,414,920
323,230,553
325,235,560
732,490,1222
549,517,1066
546,424,970
583,607,1190
844,369,1213
743,439,1182
934,489,1423
531,436,967
757,461,1218
954,120,1074
919,112,1031
936,173,1109
941,143,1084
291,168,459
945,143,1088
248,172,420
326,232,558
301,179,480
305,178,483
457,370,827
488,423,911
489,474,963
534,471,1005
663,311,974
793,352,1145
781,512,1293
751,639,1390
486,464,950
779,430,1209
942,120,1062
929,143,1072
933,171,1104
934,173,1107
936,145,1081
279,167,446
324,245,569
289,200,489
298,178,476
475,374,849
495,387,882
321,223,544
480,495,975
690,316,1006
545,491,1036
522,467,989
799,398,1197
690,369,1059
805,563,1368
774,439,1213
927,112,1039
939,143,1082
940,129,1069
939,173,1112
963,188,1151
256,155,411
286,169,455
299,175,474
329,243,572
475,345,820
368,315,683
448,375,823
480,440,920
659,349,1008
548,490,1038
676,302,978
644,457,1101
753,432,1185
803,396,1199
794,418,1212
937,112,1049
948,143,1091
929,112,1041
948,171,1119
949,143,1092
266,213,479
258,164,422
336,212,548
309,196,505
459,365,824
308,219,527
516,423,939
511,372,883
526,600,1126
668,323,991
533,538,1071
695,330,1025
922,385,1307
860,430,1290
734,453,1187
943,172,1115
945,187,1132
947,120,1067
945,154,1099
946,173,1119
284,157,441
332,240,572
336,234,570
316,193,509
349,273,622
470,321,791
546,372,918
504,403,907
642,334,976
692,342,1034
722,510,1232
549,471,1020
584,462,1046
788,455,1243
781,458,1239
925,112,1037
939,144,1083
936,143,1079
934,173,1107
955,173,1128
254,178,432
300,222,522
296,209,505
324,235,559
345,234,579
469,384,853
511,435,946
535,500,1035
527,465,992
555,392,947
683,294,977
808,323,1131
745,469,1214
778,543,1321
721,431,1152
932,112,1044
934,157,1091
947,127,1074
948,173,1121
261,181,442
308,203,511
291,162,453
338,217,555
937,143,1080
297,189,486
531,360,891
479,427,906
503,463,966
733,353,1086
682,407,1089
492,545,1037
771,390,1161
856,389,1245
475,468,943
789,410,1199
940,110,1050
937,143,1080
944,173,1117
930,187,1117
942,143,1085
267,152,419
297,176,473
334,244,578
334,253,587
302,266,568
540,400,940
574,482,1056
479,613,1092
563,517,1080
704,333,1037
835,417,1252
798,411,1209
924,510,1434
458,443,901
757,516,1273
923,112,1035
930,168,1098
931,143,1074
935,143,1078
939,187,1126
252,140,392
295,171,466
315,217,532
291,198,489
343,287,630
429,461,890
495,430,925
513,448,961
472,440,912
592,423,1015
758,343,1101
752,305,1057
735,503,1238
749,341,1090
736,409,1145
926,112,1038
939,143,1082
928,154,1082
939,143,1082
933,142,1075
299,215,514
299,187,486
292,173,465
299,221,520
255,180,435
472,430,902
520,591,1111
515,388,903
492,547,1039
472,415,887
904,408,1312
860,196,1056
690,309,999
737,647,1384
715,401,1116
935,110,1045
945,151,1096
948,157,1105
951,173,1124
940,163,1103
262,155,417
322,245,567
313,214,527
341,221,562
320,250,570
456,451,907
538,493,1031
525,520,1045
818,377,1195
839,454,1293
559,467,1026
760,432,1192
556,613,1169
927,443,1370
789,403,1192
928,112,1040
939,151,1090
934,157,1091
938,129,1067
257,160,417
941,199,1140
284,138,422
308,222,530
357,249,606
307,220,527
454,321,775
442,419,861
623,368,991
556,441,997
522,599,1121
525,511,1036
731,409,1140
756,482,1238
907,468,1375
824,434,1258
938,143,1081
941,112,1053
942,162,1104
934,187,1121
298,191,489
321,235,556
338,237,575
958,182,1140
270,190,460
357,273,630
537,455,992
543,560,1103
497,455,952
763,416,1179
495,475,970
597,369,966
876,548,1424
701,334,1035
770,783,1553
787,421,1208
935,110,1045
925,112,1037
955,143,1098
942,182,1124
968,157,1125
262,150,412
315,207,522
342,199,541
254,158,412
341,254,595
451,490,941
449,383,832
533,432,965
562,451,1013
774,501,1275
799,390,1189
528,507,1035
767,444,1211
836,362,1198
682,321,1003
929,126,1055
945,112,1057
941,143,1084
951,143,1094
274,135,409
301,205,506
272,167,439
311,173,484
946,143,1089
446,400,846
306,208,514
462,387,849
512,433,945
719,364,1083
748,385,1133
490,623,1113
690,432,1122
948,430,1378
520,526,1046
846,412,1258
935,110,1045
941,143,1084
946,165,1111
933,143,1076
932,187,1119
262,153,415
301,200,501
293,203,496
336,266,602
328,204,532
454,372,826
516,299,815
564,691,1255
502,352,854
681,274,955
507,590,1097
619,373,992
659,280,939
997,547,1544
905,494,1399
943,143,1086
945,143,1088
943,154,1097
953,188,1141
932,133,1065
305,219,524
282,177,459
358,328,686
314,203,517
303,178,481
475,339,814
647,400,1047
530,620,1150
645,369,1014
512,443,955
487,562,1049
727,377,1104
760,303,1063
939,609,1548
879,387,1266
933,151,1084
936,143,1079
937,184,1121
936,112,1048
301,180,481
265,142,407
296,190,486
957,163,1120
338,229,567
337,207,544
492,410,902
479,446,925
720,440,1160
530,629,1159
753,518,1271
444,436,880
960,372,1332
746,301,1047
532,516,1048
827,527,1354
925,112,1037
929,168,1097
951,173,1124
939,143,1082
956,157,1113
254,141,395
330,208,538
341,278,619
299,190,489
432,437,869
314,230,544
595,390,985
530,462,992
495,400,895
525,417,942
736,383,1119
720,355,1075
715,620,1335
713,361,1074
792,479,1271
934,112,1046
944,173,1117
945,143,1088
950,157,1107
919,173,1092
263,137,400
305,209,514
334,226,560
324,236,560
309,224,533
520,484,1004
552,451,1003
437,474,911
509,423,932
536,398,934
782,317,1099
716,424,1140
716,313,1029
803,428,1231
775,498,1273
944,151,1095
946,127,1073
931,141,1072
949,110,1059
938,136,1074
276,155,431
312,193,505
289,182,471
291,209,500
290,156,446
470,386,856
479,379,858
503,592,1095
468,476,944
684,397,1081
796,320,1116
513,485,998
910,573,1483
709,365,1074
797,431,1228
932,126,1058
936,143,1079
953,143,1096
957,163,1120
939,175,1114
275,173,448
313,162,475
331,248,579
296,192,488
337,210,547
471,579,1050
481,440,921
494,482,976
533,530,1063
767,328,1095
553,455,1008
885,422,1307
861,415,1276
792,389,1181
768,362,1130
932,112,1044
935,129,1064
934,163,1097
281,169,450
940,157,1097
261,191,452
933,187,1120
314,197,511
314,243,557
470,430,900
337,261,598
503,401,904
543,473,1016
489,395,884
781,243,1024
715,479,1194
560,442,1002
701,390,1091
749,515,1264
739,442,1181
934,112,1046
934,126,1060
954,120,1074
938,143,1081
277,204,481
291,178,469
957,155,1112
263,139,402
298,222,520
498,330,828
439,361,800
526,336,862
329,244,573
504,446,950
669,352,1021
648,456,1104
567,551,1118
754,446,1200
658,597,1255
882,498,1380
919,110,1029
948,110,1058
928,112,1040
924,112,1036
275,160,435
246,173,419
257,152,409
253,182,435
474,363,837
458,431,889
938,124,1062
472,459,931
724,265,989
446,447,893
279,210,489
757,327,1084
749,388,1137
514,695,1209
1007,422,1429
685,379,1064
931,112,1043
933,138,1071
954,150,1104
321,194,515
928,138,1066
260,200,460
283,201,484
950,173,1123
497,402,899
288,203,491
340,276,616
514,624,1138
495,539,1034
707,399,1106
592,479,1071
841,481,1322
952,446,1398
502,449,951
803,1131,1934
756,440,1196
932,112,1044
930,154,1084
955,157,1112
942,142,1084
948,143,1091
261,149,410
329,204,533
301,198,499
301,194,495
308,202,510
447,377,824
494,336,830
502,406,908
683,263,946
516,513,1029
640,304,944
722,372,1094
835,368,1203
525,524,1049
853,662,1515
928,112,1040
935,151,1086
964,188,1152
257,197,454
303,230,533
947,143,1090
369,273,642
307,196,503
491,382,873
531,470,1001
684,388,1072
603,513,1116
779,377,1156
509,633,1142
954,641,1595
851,434,1285
